任务名,目标,标签,图片
首秀,1.在任意地图击杀5名Scavs 2.获取并交出2支MP-13312ga霰弹枪,3x4 仙女棒 任意地点,static/images/1692980529_image.png
背景调查,1.在海关取得青铜怀表 2.(可选）取得机械钥匙 3.上交青铜怀表,3x4 仙女棒 海关 Lv.2,static/images/1692982234_image.png
硝烟野餐,1.在森林击杀15个Scav,3x4 森林 Lv.3,static/images/1692989426_image.png
搜索任务,1.在森林找到失踪的Prapor的车队 2.找到USEC临时营地 3.以幸存状态撤离该区域,3x4 森林 Lv.5,static/images/1692980729_image.png
往事速递,1.在位于海关的Tarcone公司主管办公室内找到一个保险盒 2.将容器藏匿在工厂3号门旁边的二层休息室内 3.以幸存状态撤离工厂,3x4 仙女棒 任意地点 Lv.5,static/images/1692990250_image.png
石油存储,1.在海关使用MS2000指示器标记第一辆油罐车 2.在海关使用MS2000指示器标记第二辆油罐车 3.在海关使用MS2000指示器标记第三...,3x4 仙女棒 海关 Lv.5,static/images/1692993087_image.png
罪证,1.在海关的工棚中找到0031号保险文件夹 2.把0031号保险文件夹交给Prapor 3.以幸存状态撤离该区域,3x4 仙女棒 任意地点 Lv.6,static/images/1692995563_image.png
蛋卷冰淇淋,1.找到3个60发弹容量的AK弹匣 2.把找到的3个60发弹容量的AK弹匣上交,3x4 仙女棒 森林 Lv.9,static/images/1693211912_image.png
探囊取物,1.在海关宿舍203房间取得高价值物品 2.上交信件,3x4 仙女棒 海关 PraporLL2,static/images/1693215762_image.png
邮递员派特 - 1,1.在工厂的信使尸体上取得一封信 2.以幸存状态撤离工厂 3.上交信件给Therapist,3x4 工厂 Lv.10,static/images/1693212967_image.png
一信之缘,1.在塔科夫街区取得挂号信 2.上交信件,非3x4 塔科夫街区 Lv.10,static/images/1693214990_image.png
Polikhim流浪汉,1.在海关击杀25名Scav,3x4 海关 Lv.10,static/images/1693236368_image.png
地堡 - 1,1.找到地堡 2.找到地堡控制室 3.以幸存状态撤离该区域,3x4 储备站 Lv.10,static/images/1692994118_image.png
地堡 - 2,1.找到通往医院的密闭门(白主教) 2.找到通往学院大楼的两扇密闭门中的一个(黑主教) 3.找到通往1号军营的两扇密闭门中的一个(黑兵) 4...,3x4 储备站 Lv.11,static/images/1692994810_image.png
大客户【多选】,1.在海关找到装有化学品的载具 2.使用MS2000指示器标记化学品转运车 3.以幸存状态撤离海关,3x4 海关 Lv.11,static/images/1693237795_image.png
无意冒犯,1.取得10颗M67手榴弹 2.上交10颗M67手榴弹给Prapor,非3x4 任意地点 Lv.11,static/images/1693238093_image.png
叛无所依,1.消灭储备站地堡控制室中的5名掠夺者,3x4 储备站 Lv.12,static/images/1693213665_image.png
多鱼之漏,1.在储备站取得第一份加密文件并上交 2.在储备站取得第二份加密文件并上交 3.在储备站取得第三份加密文件并上交,3x4 储备站 Lv.12,static/images/1693214068_image.png
